"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"BETA","BETA Technologies","20.900","-0.800","-3.69%","4889368154.00","25856067","540446767.00","20.700","22.600","100","100","22.000","21.700","22.350","20.420","7.84","0.00%","8.89%","亏损","21.03%","-0.38%","+0.92%","-1.28%","+0.43%","-17.97%","+33.29%","+48.23%","-38.53%","-25.91%","航空航天与国防"
"MDA","MDA Space","30.070","-0.340","-1.12%","4873246618.42","1589436","47467998.00","29.900","30.300","100","100","30.460","30.410","30.670","29.150","1.65","0.00%","5.00%","50.116","0.99%","0.06%","+0.87%","+3.80%","+3.48%","-3.78%","-20.03%","+21.15%","+29.17%","+54.98%","航空航天与国防"
"CNX","康索尔能源","32.890","-0.630","-1.88%","4865866220.93","6746507","222572189.00","32.430","34.550","100","200","33.310","33.520","33.650","32.880","3.70","-33.33%","2.30%","8.263","4.69%","0.09%","-0.51%","-8.41%","-12.92%","-9.79%","-2.46%","-18.95%","+8.33%","-10.55%","油气勘探与开发"
"UEC","Uranium Energy","9.810","-0.310","-3.06%","4854697910.46","17692664","174351745.00","9.850","9.860","10000","500","10.320","10.120","10.370","9.600","2.14","90.48%","7.61%","亏损","3.64%","-0.05%","+0.26%","-6.12%","-14.77%","-12.02%","-10.00%","-24.07%","-20.57%","-16.01%","铀"
"OTF","Blue Owl Technology Finance","10.590","-0.270","-2.49%","4852183269.51","2866448","30379153.00","10.590","10.910","100","5000","10.810","10.860","10.810","10.540","1.55","-96.08%","2.49%","6.823","0.63%","-0.09%","-0.24%","-1.12%","-7.35%","-4.68%","+7.12%","-7.78%","-17.18%","-21.87%","资产管理"
"GHC","格雷厄姆控股","1143.430","+9.520","+0.84%","4842343723.04","89768","102330870.00","1123.890","1150.010","10","10","1130.820","1133.910","1147.660","1111.622","2.34","0.00%","3.18%","17.202","3.15%","-0.49%","+0.12%","+0.43%","+1.83%","-0.79%","-2.35%","+9.20%","+0.06%","+4.59%","综合企业"
"HLNE","Hamilton Lane","87.740","-0.560","-0.63%","4835407378.12","947696","83214419.00","83.780","110.000","100","400","87.390","88.300","88.725","85.850","1.62","-60.00%","3.26%","14.820","2.52%","-0.03%","+0.26%","-8.59%","-15.15%","-15.68%","+18.91%","-6.73%","-40.66%","-33.83%","资产管理"
"SON","Sonoco Products","48.840","+0.020","+0.04%","4829055146.52","1834970","89593127.00","47.500","51.000","100","100","48.910","48.820","49.250","48.400","1.40","0.00%","1.74%","4.850","1.88%","-0.07%","+0.06%","+2.09%","-7.31%","-16.27%","-7.92%","-6.34%","+10.02%","+15.23%","包装与容器"
"NXST","Nexstar Media Group","156.530","-5.810","-3.58%","4822423355.53","1450824","228101215.00","155.000","159.980","100","100","161.560","162.340","163.980","155.130","4.63","0.00%","5.45%","52.176","5.07%","0.19%","-0.13%","-7.43%","-11.90%","-16.42%","-5.88%","-25.12%","-22.27%","-20.78%","广播"
"JSM","NAVIENT CORP 6% SNR NTS 15/12/43 USD25","17.530","-0.060","-0.34%","4805043120.00","3199","56212.00","17.500","19.770","100","100","17.600","17.590","17.640","17.500","0.14","0.00%","0.80%","-","0.00%","0.00%","0.00%","+0.09%","-0.94%","+0.48%","-0.25%","+0.43%","-3.46%","-8.33%","-"
"CRC","加州资源","54.070","-0.350","-0.64%","4802491614.51","1847449","100159316.00","52.080","54.670","100","600","54.330","54.420","55.410","53.997","1.82","-71.43%","2.60%","13.028","2.22%","-0.13%","-0.24%","-4.72%","+1.99%","+2.01%","+1.99%","-20.36%","+1.24%","+23.48%","油气勘探与开发"
"CAKE","芝乐坊餐馆","96.510","+0.640","+0.67%","4802398787.34","1616135","155213654.00","96.000","97.150","100","200","95.250","95.870","96.540","94.540","1.16","-33.33%","2.09%","31.539","3.52%","-0.05%","+0.44%","-6.03%","-9.96%","-9.41%","+23.80%","+79.86%","+80.05%","+93.57%","餐厅"
"BMA","Banco Macro","75.060","-1.710","-2.23%","4799263591.80","180185","13514499.00","70.900","77.370","100","100","76.110","76.770","76.860","74.250","1.17","0.00%","3.40%","25.036","0.85%","-0.25%","-0.27%","-3.55%","-5.20%","+3.01%","-15.84%","+11.25%","+103.05%","-13.49%","地区银行"
"MRP","Millrose Properties","28.870","+0.080","+0.28%","4793803652.49","5618303","162011687.00","28.440","29.550","200","1800","28.700","28.790","29.000","28.435","4.56","-80.00%","1.96%","11.836","3.67%","0.14%","+0.42%","-2.76%","-8.98%","-5.59%","+0.80%","+7.67%","-7.02%","+4.56%","住宅REITs"
"AMTM","Amentum Holdings","19.600","-0.590","-2.92%","4792325694.80","4418013","86832721.00","19.650","19.800","100","500","20.270","20.190","20.330","19.500","3.04","-66.67%","4.11%","72.324","2.90%","0.05%","-0.10%","+0.72%","-2.54%","-4.90%","-3.83%","-24.15%","-12.30%","-32.41%","专业商务服务"
"HGTY","Hagerty","13.940","+0.070","+0.50%","4790100145.26","900341","12540187.00","13.300","14.620","200","100","13.880","13.870","13.980","13.815","2.21","33.33%","1.19%","37.675","1.58%","-0.36%","-0.14%","+2.88%","+3.57%","+8.82%","+21.43%","+34.17%","+9.59%","+3.72%","财产和意外伤害保险"
"PSN","Parsons","44.820","-1.350","-2.92%","4787017759.08","3078001","138574170.00","44.820","46.500","400","100","46.230","46.170","46.730","44.800","3.05","60.00%","4.18%","20.372","5.48%","-0.13%","-0.42%","-2.03%","-3.30%","-2.69%","-8.23%","-14.64%","-45.27%","-27.48%","信息技术服务"
